,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:20+00:00,1345157692155965441,"Track your portfolio in Excel instead of an app (which exposes your data!). 

With live price updates, coin watch boxes, and a nifty conversion calculator, CRYPTOSHEET does it best!  https://t.co/bJ3zBggYMj

$BTC $ETH $NEO $TUSD $LTC $DOT $UNI $LINK $SNX $KSM $MANA $INJ $WABI https://t.co/F99XyOgpyQ",realCRYPTOSHEET
1,2021-01-01 23:56:48+00:00,1345157057197060096,"@plantey_tools @ZornGerhard @codexeditor @hanbzu @worldbrain @hypothes_is Try https://t.co/IvfxnFsBRL sometime, it's nifty: you just tell it which URL you want to annotate and it loads the URL in https://t.co/s8F3jI9n3M.

https://t.co/g7wmEGObdz for example",flancian
2,2021-01-01 23:56:21+00:00,1345156942080032768,"Finished this one and it is 5/5 Stars (full review below) A highly recommended journey through human connection. Timely and relevant following the disconnect so many of us have dealt with in 2020. Pick this one up! #poetry #BookReview #Literature 
https://t.co/BZOj1FsqEM",nifty_nook
3,2021-01-01 23:56:07+00:00,1345156882072285187,@Nifty__Fifty @BatdogRookie Indeed,TrentonThunder
4,2021-01-01 23:55:42+00:00,1345156776841289728,@yomamacita_ Happy new year I love u,Nifty_Kaitlyn
5,2021-01-01 23:54:40+00:00,1345156518287650816,"This. I need someone to explain how I can obtain this amazing outfit.

(I suspect this is designer/custom made, so if anyone is feeling nifty with a needle and thread, payments could be in the offing.....) https://t.co/P86Ia6m6cn",GellmanRebecca
6,2021-01-01 23:54:39+00:00,1345156513644630016,@tagsit3 @keith3048 I just never do those nifty moves I guess.,markmosborne
7,2021-01-01 23:53:07+00:00,1345156129995726848,"@exit716 @edwinmundt @Dave_Khan @jkenney Nifty show.
""No fucking fighting with the cavalry!""",CountFloyd2020
8,2021-01-01 23:42:56+00:00,1345153565510176768,"今年kuroに宿る神は
上級神
┏究極幸福神　
┣勤勉の神様　
┣恋愛の女神　
┣健康の女神　
┣駄　女　神⇐✔
┣究極変態神　
┣　死　神　　
┣貧　乏　神　
┣疫　病　神　
┗絶対不幸神　
下級神

━神は宿らぬ　
#宿る神 #shindanmaker
https://t.co/wNI9Z9YxXb

やった～！ある意味当たりですねw",nifty_tone
9,2021-01-01 23:39:59+00:00,1345152822984269828,"#TwilightZoneMarathon gotta say, the state troopers’ bloused pants are pretty nifty",Williams498
10,2021-01-01 23:38:17+00:00,1345152394384924672,"When you ask a fundamentalist for proof of something, they will quote you a verse from one of their holy books.  That's not proof of anything.  But I enjoy when science and verse aligns.  That's pretty nifty.",LindaWesson
11,2021-01-01 23:37:50+00:00,1345152281054949376,Hey y’all should check out this little unknown gem of a game called “Persona 5.” It’s pretty nifty so far!,MikeSDarnell
12,2021-01-01 23:35:10+00:00,1345151611371458561,@STANTRlGGER nifty,luminereal
13,2021-01-01 23:31:20+00:00,1345150645754597377,"LaPointe with the nifty finish!

Manhattan leads  22-17 with 7:17 to play in the half.

#playGREEN https://t.co/WVEl29UTBp",Manhattan_WBB
14,2021-01-01 23:30:23+00:00,1345150406284996608,@BelgianBoolean This is very nifty!,mrkhdly
15,2021-01-01 23:23:54+00:00,1345148776357367808,@James_Nifty He wanna be uzi sooo bad elehh,ScubaTeeb______
16,2021-01-01 23:18:08+00:00,1345147323345735682,@BatdogRookie @TrentonThunder Ruff*,Nifty__Fifty
17,2021-01-01 23:12:48+00:00,1345145982753722368,@theoztrucker My postie is now a woman on a nifty fifty,Kda351429Kevin
18,2021-01-01 23:08:17+00:00,1345144846298693634,"@animesakura3 Thank you.
Looks like it was beefsteak this time!🐮
It's Nifty cleaning him up!",koto456
