,Datetime,Tweet Id,Text,Username
43,2021-01-06 22:45:03+00:00,1346950939207467012, He was laughing about it when trump tear gassed those protesters to take pictures in front of that church,Nifty_cent
44,2021-01-06 22:41:10+00:00,1346949962446163971,"""ニセの「竈門炭治郎」グッズ、内縁の２人が売りさばく…自宅から１９００点以上押収 :""  ",polybucket89
45,2021-01-06 22:40:12+00:00,1346949716844699655,Hey   there's a nifty lil thing called the 25th Amendment... 👀,tno98
46,2021-01-06 22:39:52+00:00,1346949633210281985, ... not that the TARGET on Atlantic Avenue is not an IMPORTANT and nifty place that should be open til midnight.. but THAT won't happen till we get this madman out the white house so F***  &amp; ,K21Negro2
47,2021-01-06 22:36:36+00:00,1346948810518351875, Nifty may reach till 16500 before big correction.,vivekpratap19
48,2021-01-06 22:32:39+00:00,1346947816854269952," I'm glad my boss isn't in at work today, he's a die hard republican and idk if I'd be able to help myself from showing him videos of the riots and making constant comments about it",Nifty_cent
49,2021-01-06 22:32:01+00:00,1346947657034559489,"Nifty shorts only below 14040-13950 or near 14350-400

Keeping an eye. Will intimate",shivaji_1983
50,2021-01-06 22:30:13+00:00,1346947205102403586, Or at the very least make him wear his nifty red sweater with those sweet “sneaks”. 🤷🏼‍♂️,westonlabar
51,2021-01-06 22:28:23+00:00,1346946745033322497,7TH &amp; 8TH JAN  POINTS NIFTY DOWN.NIFTY TOP  AROUND MATCHED  LI...  via ,sansaha82
52,2021-01-06 22:25:52+00:00,1346946109156052992,   meme and nifty do 5 min from every last bid,dontdropyourart
53,2021-01-06 22:25:35+00:00,1346946037622206467," Uh oh, you're going off",Nifty_cent
54,2021-01-06 22:24:48+00:00,1346945840829575170, Thank god some good news,nifty_chris
55,2021-01-06 22:24:16+00:00,1346945707706437643,Worried about Nifty Next 50 Index? What you need to know ,FreeFinCal
56,2021-01-06 22:22:11+00:00,1346945184886616077, Do you have a nifty yellow vest?,johnkgibson1
57,2021-01-06 22:16:46+00:00,1346943819871264769, Tiny snowy nifty,Twinpandathe5th
58,2021-01-06 22:14:49+00:00,1346943329196392452,  匠海くん…(‘_‘ ;),709_naoka
59,2021-01-06 22:13:19+00:00,1346942952623529993, Si la 3a estará en Nifty mañana será mía 💪,glycemag
60,2021-01-06 22:11:20+00:00,1346942452284854272,Nifty Weekly Expiry Analysis ,brahmesh
61,2021-01-06 22:11:06+00:00,1346942396257488897," The fact that they use BLM or ANTIFA- one being a human rights group and the other for antifacism- as their defense as to why this is okay, makes them look absolutely stupid. Shame on them.",Nifty__Fifty
62,2021-01-06 22:10:28+00:00,1346942237104627718," If 50 nifty United States is no more, imma protest THAT",anakarinaskye
63,2021-01-06 22:10:02+00:00,1346942128186802177,"#NIFTY - Nifty: Derivatives data, Psychology &amp; Today's movement - TradingView - ",in_tradingview
64,2021-01-06 22:08:49+00:00,1346941819670601728,"If I have any followers that support the attack on our Capitol- playing devil's advocate, playing the ""see it from both sides"" card, etc.- feel free to make yourselves known so I can block you. 

This is domestic terrorism. And you support it. And that's not okay.

#Terrorism",Nifty__Fifty
